Listening Stations
A. Pittsburgh Zoo (7.304545, 1.118182)
B. The Waterfront (7.868182, 6.318182)
C. Carnegie Science Center (2.213636, 3.909091)
D. Cathedral of Learning (5.659182, 4.009182)

761.207 mph

Thunder times
	A	B	C	D
1	00:05:07.36112	00:04:59.05417	00:05:11.91247	00:04:56.31455
2	00:05:26.56801	00:05:39.06586	00:05:42.58261	00:05:29.08227
3	00:05:55.09969	00:06:06.51929	00:06:03.81669	00:05:53.11663
4	00:06:18.14685	00:06:29.86637	00:06:38.70015	00:06:23.95831
5	01:21:09.88707	01:21:12.75196	01:20:51.66340	01:20:59.02350
6	01:21:33.40312	01:21:46.70813	01:21:27.35257	01:21:31.60089
7	01:22:08.20182	01:22:16.86464	01:21:56.30920	01:22:01.93460
8	01:22:39.06458	01:22:49.58695	01:22:40.14694	01:22:34.70113
9	01:23:06.43664	01:23:22.84920	01:23:12.33469	01:23:08.52522
10	01:23:47.52448	01:23:50.23498	01:23:43.16800	01:23:35.34983
11	02:14:05.42812	02:13:55.25345	02:13:59.86536	02:13:50.00068
12	02:14:28.89622	02:14:27.59263	02:14:18.73759	02:14:14.71427
13	02:14:51.87140	02:14:57.78305	02:14:54.62831	02:14:43.12424
14	02:15:23.32798	02:15:19.36760	02:15:28.04461	02:15:11.90142
15	03:01:02.19789	03:00:41.56239	03:00:56.91789	03:00:48.21027
16	03:01:31.46056	03:01:22.27839	03:01:31.64531	03:01:17.59639
17	03:01:57.05933	03:01:38.96788	03:02:03.23115	03:01:48.27813
18	03:02:30.93852	03:02:14.22861	03:02:27.94097	03:02:16.97305
19	03:03:05.73590	03:02:41.06814	03:03:07.05245	03:02:54.87832
20	04:06:46.55435	04:06:38.44889	04:06:42.69343	04:06:31.14253
21	04:07:17.17681	04:07:09.48335	04:07:03.53336	04:07:01.65392
22	04:07:47.05226	04:07:31.22885	04:07:40.17553	04:07:32.06467
23	04:08:22.22249	04:08:08.02529	04:08:07.93127	04:08:06.51161
24	05:14:32.33743	05:14:26.45281	05:14:43.58547	05:14:27.32441
25	05:14:49.05380	05:15:05.43447	05:15:12.73500	05:14:58.83301
26	05:15:31.28226	05:15:37.09841	05:15:48.54467	05:15:32.87777
27	05:16:08.33194	05:16:11.67275	05:16:29.09109	05:16:13.10655
28	05:16:46.99543	05:16:58.27256	05:17:11.68734	05:16:56.66716
29	05:17:31.96780	05:17:25.79900	05:17:48.06006	05:17:31.76981
30	06:26:22.29217	06:26:29.06415	06:26:19.33902	06:26:13.95163
31	06:26:41.56683	06:27:02.14823	06:26:55.35551	06:26:49.14436
32	06:27:19.61026	06:27:27.34153	06:27:30.92112	06:27:16.54393
33	06:27:45.83201	06:28:01.48048	06:27:59.48582	06:27:49.08360
34	06:28:22.67654	06:28:36.21363	06:28:27.99611	06:28:21.83737
35	07:26:02.07198	07:25:47.21095	07:26:01.85744	07:25:48.91100
36	07:26:17.07543	07:26:21.84612	07:26:26.41355	07:26:11.19768
37	07:26:54.14748	07:26:35.80058	07:26:58.78070	07:26:44.23184
38	07:27:19.59754	07:27:22.45018	07:27:37.84308	07:27:21.82318
39	07:28:09.33161	07:27:51.12887	07:28:17.95121	07:28:02.66473
40	08:18:30.30674	08:18:26.17224	08:18:08.72537	08:18:16.18228
41	08:18:55.54893	08:19:02.30093	08:18:39.69438	08:18:47.71311
42	08:19:35.26321	08:19:29.80538	08:19:20.26896	08:19:20.20322
43	08:19:53.74569	08:20:02.06994	08:19:54.37952	08:19:47.11613
44	08:20:26.16821	08:20:18.87426	08:20:18.34225	08:20:10.43829
45	09:21:52.84108	09:21:51.94040	09:22:04.72003	09:21:48.46460
46	09:22:23.45612	09:22:24.11284	09:22:25.54341	09:22:09.71642
47	09:22:40.93228	09:22:50.36494	09:22:48.32338	09:22:36.80424
48	09:23:03.79949	09:23:13.74783	09:23:21.00935	09:23:06.24833
49	09:23:39.36443	09:23:48.87183	09:23:46.80470	09:23:35.31730
50	09:24:02.49282	09:24:19.24938	09:24:14.89960	09:24:06.23045
51	09:24:25.66196	09:24:45.60782	09:24:50.25245	09:24:37.38002
52	10:00:17.94379	10:00:11.99811	10:00:24.12811	10:00:08.06610
53	10:00:37.16271	10:00:52.67426	10:00:55.77042	10:00:42.85999
54	10:01:15.04351	10:01:23.22609	10:01:36.01723	10:01:20.56065
55	10:01:52.43647	10:01:57.12672	10:02:04.28565	10:01:48.74237
56	10:02:25.05515	10:02:17.55260	10:02:38.08278	10:02:21.84223
